Ligand ID,4methylmorpholine_ddg,angle_R2PPd_Min_cmax,P1R2_B1_cavg,P2R1_B5_boltz,Set
pp000001-PdCl2,0,118.4981097694894,4.101516432915452,9.071233513701317,Training
pp000003-PdCl2,-0.069953978,116.0190427532133,4.942309472901954,10.94390420287576,Training
pp000004-PdCl2,-1.160091666,116.0016423693604,6.084689486463767,10.91021387856496,Test
pp000006-PdCl2,0.882892719,112.6099703866553,3.424241352852065,9.855849271875254,Training
pp000008-PdCl2,0.6396665656320916,112.3188270515508,3.450178526456891,9.842352899727713,Training
pp000012e-PdCl2,-0.412340467,117.6961888654153,3.945367585824746,8.724658928208276,Training
pp000016e-PdCl2,-1.160091666,117.5095595,5.252646080393849,10.25028230531508,Training
pp000017e-PdCl2,-0.465869142,114.1516645205211,4.844231274498727,9.939988473582925,Test
pp000019-PdCl2,0.069953978,110.0082315879304,6.785094479793651,11.64649215392958,Training
pp000022e-PdCl2,-0.02329309,113.1958211003662,3.413447177659407,9.643220931,Training
pp000024-PdCl2,0.1404165111168104,112.9999046884802,5.189411368621161,9.615577353938788,Training
pp000025-PdCl2,0.7714372927642945,111.2076125788994,4.620494977205072,10.83058508114914,Training
pp000027-PdCl2,0.3350055432244409,113.6843303735511,3.699855191755496,9.868592486,Training
pp000029e-PdCl2,0.49333884029130515,103.3777984229414,4.635074690605668,9.753165143469046,Training
pp000043-PdCl2,0.023293090076692544,114.5311973232268,4.403795283375574,9.151934091581674,Training
pp000045-PdCl2,-0.73693374,113.2970846,5.882202837913066,8.892517928315424,Training
pp000050e-PdCl2,-0.26044736,113.9316513904225,4.787849832334611,9.470813582349267,Training
pp000052-PdCl2,0.6396665656320916,113.5882552,5.694762927642254,11.35327401859193,Test
pp000055-PdCl2,-0.844267845,117.3360994446275,3.562035305658018,7.935719756,Test
pp000056-PdCl2,0.18793467853580464,99.51865723751813,3.732314470201059,7.944050113526467,Training
pp000061e-PdCl2,-0.807169337,113.507838,5.907500918441144,10.02962151455493,Training
pp000063-PdCl2,-0.386202793,108.8864973971942,5.005838585,9.324591431970607,Test
pp000068-PdCl2,-0.285039258,114.1585441555913,4.012725879838568,9.568519264054036,Training
pp000069-PdCl2,-0.49333884,113.8398808331312,5.197144815176014,9.995537645034934,Test
pp000071-PdCl2,-0.046604835,109.1793794756093,4.960909382433815,9.229269943067003,Training
pp000076e-PdCl2,-0.703538716,111.4811599165994,5.074954362204484,8.518950140177623,Training
pp000077-PdCl2,0.49333884029130515,112.5106655293231,4.894471890794731,10.32562817740173,Test
pp000078-PdCl2,0.093359444,116.6293066460586,4.210708674815532,9.542745864,Training
pp000082-PdCl2,-0.609014773,118.6140546921688,5.668026589203352,8.965871057490208,Training
pp000083-PdCl2,0.5499123939629421,117.0506232,6.064344619200089,13.66042147753857,Training
pp000085-PdCl2,1.1600916664188068,119.5555357497536,4.217625674774783,7.728565286976235,Test
pp000096-PdCl2,0,114.9598229347123,4.331018456699725,9.558315474555519,Test
pp000101-PdCl2,0.5213370032440625,111.9008256317331,5.648013444,11.43689314723194,Training
pp000103-PdCl2,0.069953978,107.3905531,4.158842037462533,8.072780916556397,Training
pp000105-PdCl2,0.38620279276943925,116.2853464637809,2.886042212284738,9.577786833201747,Training
pp000111e-PdCl2,0.1404165111168104,118.9771230086681,3.742772816234419,9.076745310994038,Training
pp000114-PdCl2,0.2604473600310366,109.9679576368815,4.203133588457302,8.000969539994689,Training
pp000115e-PdCl2,0.23608189700993543,117.4520301186155,4.591281066540288,10.15107448,Training
pp000129e-PdCl2,-0.844267845,113.8964138616399,4.891454713137984,8.149211231758828,Training
pp000130e-PdCl2,-0.187934679,111.6816516939787,5.048000675,8.220855582213062,Training
pp000134-PdCl2,-0.92323084,111.9449942,5.024877401274122,8.38030189,Training
pp000495-PdCl2,0.4388833304249264,112.4445166028427,4.897413744618036,9.234476094731223,Training
